id,country_id,league_id,season,stage,date,match_api_id,home_team_api_id,away_team_api_id,home_player_X1,home_player_X2,home_player_X3,home_player_X4,home_player_X5,home_player_X6,home_player_X7,home_player_X8,home_player_X9,home_player_X10,home_player_X11,away_player_X1,away_player_X2,away_player_X3,away_player_X4,away_player_X5,away_player_X6,away_player_X7,away_player_X8,away_player_X9,away_player_X10,away_player_X11,home_player_Y1,home_player_Y2,home_player_Y3,home_player_Y4,home_player_Y5,home_player_Y6,home_player_Y7,home_player_Y8,home_player_Y9,home_player_Y10,home_player_Y11,away_player_Y1,away_player_Y2,away_player_Y3,away_player_Y4,away_player_Y5,away_player_Y6,away_player_Y7,away_player_Y8,away_player_Y9,away_player_Y10,away_player_Y11,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,GBH,GBD,GBA,BSH,BSD,BSA
1594,1,1,2015/2016,21,12/27/2015 0:00,1979985,9985,274581,1,2,4,6,8,7,4,6,3,5,5,1,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,8,6,6,8,8,11,1,3,3,3,3,7,7,7,10,10,10,279874,119117,171338,203755,33620,659463,424391,118730,111787,202562,167057,128083,574845,557042,210138,39625,447455,364826,293003,387723,213487,658657,1.45,4.5,6,1.5,4.1,6.25,1.5,4,6.1,1.48,4,7,1.5,4.43,7.59,1.44,4.2,6.5,NA,NA,NA,1.45,4.4,7,NA,NA,NA,NA,NA,NA
1606,1,1,2015/2016,22,1/16/2016 0:00,1979997,9986,9997,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,10,10,10,41301,266105,178261,33605,46458,521204,181054,93347,170316,79247,17703,242243,179365,561611,466480,364779,274456,215415,130738,365244,38382,164323,1.57,3.8,6,1.55,4,5.75,1.55,3.9,5.6,1.55,3.75,6.5,1.58,3.89,7.41,1.62,3.75,5,NA,NA,NA,1.53,4,6.5,NA,NA,NA,NA,NA,NA
1614,1,1,2015/2016,23,1/22/2016 0:00,1980005,8571,8573,1,2,4,8,6,3,5,7,3,5,7,1,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,10,10,10,206592,478112,179513,181312,156693,95614,294252,38257,478447,70959,371538,38327,95615,30918,298941,173462,418105,131531,38365,265123,38440,166302,2.6,3.3,2,2.7,3.4,2.7,2.6,3.2,2.6,2.62,3.3,2.62,2.73,3.42,2.72,2.7,3.2,2.45,NA,NA,NA,2.63,3.3,2.63,NA,NA,NA,NA,NA,NA
1616,1,1,2015/2016,23,1/23/2016 0:00,1980007,9997,10001,1,2,4,6,8,3,5,7,3,5,7,1,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,10,10,10,242243,164323,210392,473859,466480,179365,571681,215415,658786,274456,38382,346114,179241,27412,201804,306731,104410,209782,130027,166664,42706,346651,2.15,3.3,3,2.2,3.3,3.2,2.2,3.3,3.1,2.2,3.25,3.3,2.26,3.41,3.45,2.15,3.3,3.1,NA,NA,NA,2.2,3.4,3.2,NA,NA,NA,NA,NA,NA
1622,1,1,2015/2016,24,1/30/2016 0:00,1980013,1773,9985,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,8,8,8,11,11336,280134,179783,NA,36849,26078,239599,38777,280968,318615,15938,32657,119117,203755,140932,424391,118730,242719,111787,167057,365245,535938,3.4,3.5,2,3.2,3.5,2.1,3.3,3.3,2.1,3.3,3.5,2.1,3.47,3.7,2.15,3.1,3.3,2.15,NA,NA,NA,3.4,3.6,2.05,NA,NA,NA,NA,NA,NA
1631,1,1,2015/2016,25,2/6/2016 0:00,1980022,8571,10001,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,2,4,6,8,5,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,7,7,7,7,9,11,206592,94284,156693,478112,181312,95614,294252,37065,192326,209855,371538,346114,179241,306731,27412,201804,42706,209782,130027,166664,104410,346651,1.83,3.75,4,1.8,3.8,4,1.85,3.45,4,1.8,3.6,4.33,1.79,3.83,4.88,1.8,3.5,4,NA,NA,NA,1.8,3.7,4.3,NA,NA,NA,NA,NA,NA
1636,1,1,2015/2016,26,2/14/2016 0:00,1980027,8573,8342,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,8,8,8,11,38327,95615,30918,298941,173462,201811,38365,265123,418105,206182,38440,34003,277771,294254,305132,178293,114688,26440,14557,207511,203666,201915,3.6,3.5,2,3.3,3.75,2,3.6,3.3,2,3.5,3.6,2,3.75,3.7,2.05,3.3,3.5,2,NA,NA,NA,3.4,3.6,2.05,NA,NA,NA,NA,NA,NA
1658,1,1,2015/2016,29,3/5/2016 0:00,1980049,9985,9987,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,7,7,7,10,10,10,32657,462085,203755,140932,244904,242719,118730,613260,111787,365245,167057,195782,354175,280083,149219,80678,282470,459658,533228,240478,110948,32863,1.95,3.5,3,1.87,3.5,4,1.85,3.45,4,2,3.4,3.75,2.05,3.56,3.9,2,3.3,3.5,NA,NA,NA,2,3.5,3.6,NA,NA,NA,NA,NA,NA
1662,1,1,2015/2016,29,3/5/2016 0:00,1980053,9994,10001,1,2,4,6,8,1,3,5,7,9,5,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,7,11,1,3,3,3,3,7,7,7,7,10,10,37937,72545,25791,38293,149150,185152,203940,210844,38290,277821,212285,346114,179241,538333,306731,201804,104410,209782,130027,166664,42706,346651,1.67,3.8,5,1.65,3.8,5,1.65,3.7,4.9,1.65,3.8,5,1.68,4.05,5.4,1.65,3.75,4.6,NA,NA,NA,1.65,3.9,5,NA,NA,NA,NA,NA,NA
1663,1,1,2015/2016,29,3/5/2016 0:00,1980054,8571,10000,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,10,10,10,206592,478447,38257,156693,181312,179513,294252,95614,40520,192326,70959,36872,31241,289883,563215,303179,26916,46335,630950,39145,299358,431589,2.2,3.3,3,2.15,3.4,3.25,2.2,3.4,3,2.15,3.4,3.25,2.18,3.62,3.45,2.15,3.3,3.1,NA,NA,NA,2.15,3.5,3.2,NA,NA,NA,NA,NA,NA
1678,1,1,2015/2016,30,3/13/2016 0:00,1980061,1773,8342,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,7,7,7,10,10,10,11336,38777,164229,179783,36849,105680,26078,181569,280968,318615,120110,34003,277771,294254,157375,178293,26440,203666,114688,315459,38782,207511,3.4,3.4,2,3.4,3.6,2,4,3.45,1.85,3.3,3.5,2,3.51,3.67,2.14,3.2,3.6,2,NA,NA,NA,3.2,3.7,2.1,NA,NA,NA,NA,NA,NA
1680,1,1,2015/2016,30,3/13/2016 0:00,1980063,9997,9994,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,8,8,8,11,242243,466480,210392,36522,473859,179365,465746,289248,354475,274456,27157,37937,72545,25791,38293,149150,38290,185152,203940,210844,277821,212285,2.1,3.4,3,1.95,3.5,3.7,1.9,3.45,3.8,2.1,3.4,3.3,2.12,3.56,3.68,2.1,3.25,3.25,NA,NA,NA,2.1,3.5,3.4,NA,NA,NA,NA,NA,NA
1696,1,1,2015/2016,5,8/21/2015 0:00,1979871,9997,9987,1,2,4,6,8,3,5,7,3,5,7,1,2,4,6,8,2,4,6,8,5,5,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,7,9,11,242243,130738,210392,641042,466480,658786,215415,207603,365245,512726,613260,91929,465750,280083,149219,166675,32863,38969,659493,37112,354494,464486,3.2,3.4,2,3.3,3.4,2.1,3.6,3.3,2,3.5,3.4,2.05,3.19,3.51,2.34,2.9,3.3,2.25,NA,NA,NA,3.13,3.5,2.25,NA,NA,NA,NA,NA,NA
1701,1,1,2015/2016,6,8/30/2015 0:00,1980069,9994,8475,1,2,4,6,8,2,4,6,8,5,5,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,9,11,1,3,3,3,3,7,7,7,7,10,10,30934,460004,25791,213873,149150,523363,38290,181066,491072,287341,173922,208718,291929,5272,200718,257843,561604,213799,32760,94008,277772,466203,1.44,4.33,7,1.5,3.9,6.75,1.55,3.9,5.6,1.44,4.33,7,1.54,4.31,6.63,1.5,3.8,6,NA,NA,NA,1.5,4.33,6.5,NA,NA,NA,NA,NA,NA
1719,1,1,2015/2016,8,9/19/2015 0:00,1979886,1773,10000,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,8,8,8,11,11336,419238,179783,NA,36849,105680,26078,120110,280968,197848,181569,37900,154276,289883,46232,303179,26771,26916,299358,26613,465726,46335,2.63,3.3,2,2.65,3.25,2.6,2.65,3.3,2.5,2.6,3.3,2.62,2.64,3.53,2.76,2.62,3.3,2.45,NA,NA,NA,2.55,3.4,2.63,NA,NA,NA,NA,NA,NA
1728,1,1,2015/2016,9,9/26/2015 0:00,1979895,8475,9991,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,6,6,8,8,8,11,208718,291929,5272,200718,257843,561604,213799,32760,94008,362187,277772,181069,346142,91503,196203,67958,173449,40521,25751,289248,282671,467486,5.25,4.2,1,5.5,3.8,1.6,5,3.9,1.6,5.5,4,1.57,5.96,4.16,1.62,4.8,3.8,1.62,NA,NA,NA,5.5,4.1,1.6,NA,NA,NA,NA,NA,NA
4389,1729,1729,2015/2016,1,8/9/2015 0:00,1987032,9825,8654,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,3,5,7,5,4,6,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,6,8,10,10,30859,26154,35606,46539,38521,159594,37436,75489,36378,196386,46469,169756,109897,35110,49543,155782,37169,575789,148302,25496,18506,192899,1.29,6,12,1.28,5.75,10.5,1.33,4.8,8.3,1.29,5.5,12,1.31,5.75,12,1.3,5,11,NA,NA,NA,1.3,5.75,12,NA,NA,NA,NA,NA,NA
4406,1729,1729,2015/2016,10,10/24/2015 0:00,1988807,10194,9817,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,8,8,8,11,288880,34036,119541,200962,37194,23253,39109,176300,96643,110148,172321,30455,213809,40548,114769,417068,22991,41365,24915,72436,25816,101419,2.1,3.3,4,2.1,3.25,3.5,2,3.3,3.6,2.1,3.2,4,2.1,3.38,4.03,2.15,3.1,3.6,NA,NA,NA,2.1,3.3,4.1,NA,NA,NA,NA,NA,NA
4409,1729,1729,2015/2016,11,10/31/2015 0:00,1988810,8455,8650,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,3,5,7,4,6,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,6,8,8,11,46518,281207,23783,30627,72541,79574,32345,94086,128864,107417,19243,37868,157838,22764,94043,314605,38807,95327,307021,37234,184536,242709,2.1,3.5,3,2.1,3.3,3.4,2.1,3.2,3.4,2.1,3.4,3.75,2.07,3.54,3.92,2.1,3.2,3.75,NA,NA,NA,2.1,3.4,3.9,NA,NA,NA,NA,NA,NA
4416,1729,1729,2015/2016,11,11/2/2015 0:00,1988817,8586,10252,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,2,4,6,8,5,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,7,7,7,7,9,11,26295,159833,160599,37762,46353,361315,363333,174850,41008,157723,194165,69650,32870,161414,33086,30352,183500,56972,182223,23991,312765,23264,1.44,4.75,8,1.42,4.33,7.25,1.4,4.4,7.3,1.44,4.5,7.5,1.43,4.8,9,1.44,4.2,8,NA,NA,NA,1.4,4.8,9,NA,NA,NA,NA,NA,NA
4424,1729,1729,2015/2016,12,11/7/2015 0:00,1988825,10260,8659,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,8,8,8,11,182917,23354,165823,161012,161035,34944,30872,41468,30829,299215,413557,23021,169162,32441,43248,23257,24148,113968,175947,24171,33468,51545,1.33,5.25,12,1.33,5,8.75,1.35,4.8,7.6,1.36,4.5,11,1.34,5.25,12.05,1.36,4,12,NA,NA,NA,1.33,5.25,11.5,NA,NA,NA,NA,NA,NA
4426,1729,1729,2015/2016,12,11/7/2015 0:00,1988827,10194,8455,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,8,8,8,11,288880,34036,40695,200962,37194,23253,39109,176300,96643,110148,33881,46518,72541,281207,30627,324910,79574,115067,150250,94086,107417,19243,3.8,3.6,2,3.6,3.25,2.05,3.3,3.3,2.1,3.8,3.4,2.05,3.96,3.51,2.07,3.75,3.1,2.1,NA,NA,NA,3.9,3.5,2.1,NA,NA,NA,NA,NA,NA
4427,1729,1729,2015/2016,12,11/7/2015 0:00,1988828,8472,8466,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,8,8,8,11,103428,432040,165526,26108,22964,109330,118929,24159,39139,520230,32627,30841,72665,26552,209405,46010,23792,209384,303339,279490,94267,41280,4.75,3.8,1,4.75,3.6,1.75,4,3.45,1.85,4.75,3.6,1.8,4.79,3.81,1.82,5,3.2,1.8,NA,NA,NA,5,3.7,1.8,NA,NA,NA,NA,NA,NA
4444,1729,1729,2015/2016,14,11/28/2015 0:00,1988845,8456,8466,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,8,8,8,11,28955,26111,30459,174321,16351,40196,78324,169200,36615,246575,37412,30841,72665,26552,209405,46010,166676,212470,303339,23792,279490,23293,1.6,4.33,6,1.6,4.2,5.25,1.5,4,6.1,1.57,4.33,6,1.58,4.4,6.28,1.57,3.8,6,NA,NA,NA,1.57,4.4,6.25,NA,NA,NA,NA,NA,NA
4449,1729,1729,2015/2016,15,12/5/2015 0:00,1988850,9825,8472,1,2,4,6,8,4,6,3,5,7,5,1,1,3,5,7,9,2,4,6,8,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,3,7,7,7,7,11,30859,427438,35606,46539,38521,23688,75489,242094,36378,196386,46469,103428,432040,165526,24150,26108,180330,520230,109330,39139,184822,32627,1.29,6,13,1.26,6.25,10.5,1.22,5.5,12,1.25,5.5,12,1.28,6.14,13.53,1.29,5,12,NA,NA,NA,1.29,5.75,13,NA,NA,NA,NA,NA,NA
4454,1729,1729,2015/2016,15,12/5/2015 0:00,1988855,8466,10252,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,7,7,7,10,10,10,30841,160627,26552,209405,46010,166676,279490,303339,23792,94267,41280,69650,32870,257847,33086,183500,261313,56972,179410,154280,107415,23991,1.5,4.5,7,1.5,4.25,6,1.45,4,7,1.5,4,7,1.52,4.37,7.57,1.53,3.6,7.5,NA,NA,NA,1.53,4.2,7.5,NA,NA,NA,NA,NA,NA
4475,1729,1729,2015/2016,17,12/19/2015 0:00,1988876,10194,9826,1,2,4,6,8,3,5,7,3,5,7,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,7,10,10,288880,34036,40695,200962,37194,199291,23253,26434,176300,96643,110148,36283,146830,23030,23837,183519,198510,28901,22929,35345,169721,160194,2.5,3.2,3,2.5,3.2,2.8,2.4,3.2,2.85,2.4,3.2,3,2.51,3.3,3.14,2.4,3.1,3.1,NA,NA,NA,2.5,3.25,3.2,NA,NA,NA,NA,NA,NA
4510,1729,1729,2015/2016,20,1/3/2016 0:00,1988901,9826,8455,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,8,8,8,11,36283,146830,23837,23030,183519,28901,8985,35345,130670,198510,24157,170323,31306,281207,30627,72541,32345,30613,94086,128864,107417,19243,3.8,3.5,2,3.8,3.2,2.1,3.1,3.3,2.2,3.8,3.3,2,3.98,3.49,2.07,3.75,3.2,2.1,NA,NA,NA,3.8,3.5,2.1,NA,NA,NA,NA,NA,NA
4511,1729,1729,2015/2016,20,1/3/2016 0:00,1988902,8668,8586,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,8,8,8,11,31465,77690,263653,213878,24846,160713,23782,30895,215384,30922,181276,26295,159833,160599,37762,276121,361315,212702,157723,363333,174850,194165,2.8,3.5,2,2.7,3.4,2.6,2.6,3.2,2.6,2.62,3.4,2.6,2.78,3.59,2.62,2.7,3.1,2.7,NA,NA,NA,2.75,3.6,2.6,NA,NA,NA,NA,NA,NA
4519,1729,1729,2015/2016,21,1/12/2016 0:00,1988910,10252,9826,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,8,8,8,11,24579,183500,257847,33086,93484,179410,182223,358289,261313,154280,150401,36283,146830,23837,23030,183519,28901,22929,35345,26160,198510,46417,3.2,3.25,2,3,3.2,2.45,2.6,3.2,2.6,3,3.1,2.4,3.2,3.25,2.5,3.1,3,2.5,NA,NA,NA,3.25,3.13,2.5,NA,NA,NA,NA,NA,NA
4524,1729,1729,2015/2016,21,1/13/2016 0:00,1988915,8456,8668,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,3,5,7,4,6,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,6,8,8,11,31432,26111,174321,30459,31291,101103,36615,33991,169200,246575,37412,31465,263653,23268,213878,24846,212866,215384,23782,251925,24006,181276,1.53,4.75,6,1.53,4.75,5.75,1.45,4,7,1.48,4.5,6,1.52,4.88,6.44,1.53,4,6.5,NA,NA,NA,1.53,4.6,6.25,NA,NA,NA,NA,NA,NA
4536,1729,1729,2015/2016,22,1/17/2016 0:00,1988927,10194,9825,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,5,2,4,6,8,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,8,8,8,8,11,288880,34036,40695,200962,37194,23253,26434,33881,96643,110148,172321,30859,427438,35606,46539,38521,23688,242094,196386,75489,31013,46469,4.33,3.6,1,4,3.6,1.95,3.8,3.45,1.9,4,3.5,1.91,4.29,3.61,1.96,4.33,3.1,1.95,NA,NA,NA,4.3,3.6,1.95,NA,NA,NA,NA,NA,NA
4539,1729,1729,2015/2016,23,1/24/2016 0:00,1988930,9825,8455,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,6,6,8,8,8,11,30859,427438,35606,46539,38521,23688,75489,242094,36378,31013,46469,170323,31306,281207,30627,72541,115067,32345,94086,30613,128864,19243,2.1,3.5,3,2.05,3.3,4,2.2,3.25,3.3,2,3.4,3.6,2.06,3.62,3.87,2.1,3.2,3.75,NA,NA,NA,2.05,3.5,4,NA,NA,NA,NA,NA,NA
